date,open,high,low,close,volume,date_unix
2013-11-24,838.97872,838.97872,760.38,808.33476,13.31504524,1385251200
2013-11-25,805.0,818.36641,730.0,801.59886,10.85301152,1385337600
2013-11-26,801.59886,900.0,768.58034,893.87025,13.84662167,1385424000
2013-11-27,893.9,1081.09181,890.0,994.95,46.41314502,1385510400
2013-11-28,994.95,1088.41486,935.0806,1000.32893,33.03036408,1385596800
2013-11-29,1012.39302,1198.8009,1012.39302,1165.425,34.82728925,1385683200
2013-11-30,1155.62219,1189.10145,1094.38283,1114.24001,22.76152285,1385769600
2013-12-01,1112.01598,1130.0,770.0,953.72943,52.50557639,1385856000
2013-12-02,952.89757,1059.0,946.14514,1022.9544,36.88923603,1385942400
2013-12-03,1031.15439,1076.52087,995.4975,1063.46318,23.27089023,1386028800
2013-12-04,1051.2966,1120.0,981.75885,1079.93122,40.35283498,1386115200
2013-12-05,1088.62278,1110.0,855.7,1032.05233,64.63659979,1386201600
2013-12-06,1032.05233,1065.22702,838.51515,864.78197,62.70884907,1386288000
2013-12-07,866.89118,950.0,600.96141,699.42201,122.53190771,1386374400
2013-12-08,693.64295,801.45651,670.004,795.61257,47.86979453,1386460800
2013-12-09,801.53386,914.29786,782.43239,899.72762,61.21825179,1386547200
2013-12-10,899.72762,975.11,899.4394,959.11111,69.81681796,1386633600
2013-12-11,954.64274,979.23,820.0,883.78144,43.04402339,1386720000
2013-12-12,883.78144,919.07787,857.37669,873.0,7.80763188,1386806400
2013-12-13,881.4786,916.59561,853.07,878.79707,26.09102401,1386892800
2013-12-14,885.34561,885.34561,850.0,862.17448,12.19367696,1386979200
2013-12-15,870.6966,885.0,820.0,863.71354,35.68524806,1387065600
2013-12-16,863.70354,884.0,662.6585,709.93373,66.58353692,1387152000
2013-12-17,715.659,758.84502,674.73714,702.0,60.74600195,1387238400
2013-12-18,698.61378,698.61378,380.0,528.0,211.20742328,1387324800
2013-12-19,533.3138,700.0,517.62147,699.81249,39.80196826,1387411200
2013-12-20,699.80249,718.21618,614.51908,665.44627,47.98477468,1387497600
2013-12-21,656.24474,700.0,605.0,621.45299,11.70379853,1387584000
2013-12-22,614.99785,681.38026,605.0,641.0361,54.24804243,1387670400
2013-12-23,633.71842,680.0,633.71842,655.22662,27.57428664,1387756800
2013-12-24,666.03821,683.7417,642.0,659.79308,10.9802126,1387843200
2013-12-25,659.79308,684.51009,642.0,676.0,10.88939226,1387929600
2013-12-26,684.53009,771.0,676.0,752.33596,68.93004264,1388016000
2013-12-27,757.65272,769.005,714.14721,731.86466,33.27565259,1388102400
2013-12-28,734.43518,745.2,715.52601,719.0,7.62895657,1388188800
2013-12-29,732.23935,744.31657,715.0,733.0451,6.19965595,1388275200
2013-12-30,742.67124,751.0,731.85612,749.0,8.82861977,1388361600
2013-12-31,749.0,750.0,730.0,739.73114,8.37272266,1388448000
2014-01-01,737.15115,759.1104,737.15115,753.99,10.12692303,1388534400
2014-01-02,750.11583,817.56149,750.0,788.30421,19.81338285,1388620800
2014-01-03,784.68606,819.9,771.17795,808.51778,75.69532024,1388707200
2014-01-04,808.42694,840.0,783.02,827.64784,33.22655577,1388793600
2014-01-05,828.69,980.0,827.4135,904.75,54.94914033,1388880000
2014-01-06,908.24999,1019.0,886.43973,919.11176,75.0963876,1388966400
2014-01-07,916.81972,945.0,810.0,810.0,49.40815708,1389052800
2014-01-08,810.0,899.84281,788.0,824.98287,19.18275555,1389139200
2014-01-09,825.56345,870.0,807.42084,841.86934,8.1583345,1389225600
2014-01-10,839.99,857.34056,817.0,857.33056,8.02451046,1389312000
2014-01-11,858.2,918.05471,857.16554,899.84105,18.74828487,1389398400
2014-01-12,899.96114,900.93989,833.00001,860.0,25.42943314,1389484800
2014-01-13,847.32152,859.99999,815.0,835.0,25.86912661,1389571200
2014-01-14,835.0,877.293,805.0,831.0,31.66288131,1389657600
2014-01-15,831.0,864.0,828.0,850.00364,6.70756459,1389744000
2014-01-16,853.0,865.0,824.0,826.97077,28.6020137,1389830400
2014-01-17,824.1264,835.06427,788.0,804.0,26.35803928,1389916800
2014-01-18,812.90538,844.14159,807.74074,819.51,18.76832727,1390003200
2014-01-19,819.51,848.9,819.51,835.0,11.93959203,1390089600
2014-01-20,843.94804,855.0,830.1,843.76589,4.44675857,1390176000
2014-01-21,840.0,845.98999,820.1,829.01,6.89537424,1390262400
2014-01-22,829.0,834.53144,821.0,830.88999,1.71261648,1390348800
2014-01-23,822.4,830.88899,821.0,830.88897,11.58125085,1390435200
2014-01-24,830.88897,835.48427,783.0,803.01935,25.00906729,1390521600
2014-01-25,803.01936,830.0,795.07478,812.02,9.92963832,1390608000
2014-01-26,818.0,840.0,813.0,826.72139,6.56973636,1390694400
2014-01-27,826.70102,840.0,780.0,780.0,35.69920751,1390780800
2014-01-28,780.0,830.0,775.0,815.99,15.75364425,1390867200
2014-01-29,815.99,826.22571,795.0,795.0,18.92440096,1390953600
2014-01-30,802.4522,815.23135,787.01,808.0,27.02869698,1391040000
2014-01-31,808.0,812.63409,801.0,812.19037,12.86179583,1391126400
2014-02-01,807.30274,835.0,803.41261,825.0,6.46833713,1391212800
2014-02-02,828.99,835.0,814.86431,814.86431,7.24707014,1391299200
2014-02-03,814.86431,819.8,803.64931,819.78,7.27266388,1391385600
2014-02-04,808.0,819.78,799.579,802.4,11.42593687,1391472000
2014-02-05,802.4,815.89934,802.4,802.5,16.58783411,1391558400
2014-02-06,802.5,803.72713,767.60884,767.60884,33.59212509,1391644800
2014-02-07,775.2051,775.2051,666.35039,714.12206,64.82321221,1391731200
2014-02-08,711.41118,730.0,680.01,699.30255,31.04225383,1391817600
2014-02-09,692.37535,756.0998,684.85098,689.0,38.29127444,1391904000
2014-02-10,686.83613,748.0,550.0,690.2,29.85666843,1391990400
2014-02-11,690.2,720.0,660.0,714.56111,33.33127352,1392076800
2014-02-12,709.93,709.93,651.30901,670.6659,17.64185053,1392163200
2014-02-13,671.0,680.0,595.6295,623.94582,44.67622419,1392249600
2014-02-14,629.07483,710.0,586.43,670.33964,42.44993091,1392336000
2014-02-15,667.04394,682.78028,646.87689,659.2834,12.18856928,1392422400
2014-02-16,665.80764,668.82486,600.0,624.73111,21.45359725,1392508800
2014-02-17,636.26205,679.05833,593.67544,638.1016,36.38625764,1392595200
2014-02-18,639.69685,652.50738,623.0,636.5201,20.84473994,1392681600
2014-02-19,634.9328,640.0,602.90667,630.16179,13.0034361,1392768000
2014-02-20,631.74114,641.3624,561.14602,561.14602,52.55553649,1392854400
2014-02-21,567.26572,597.05351,547.72277,572.2744,25.78998983,1392940800
